"Type","Identifiant","Toponyme","Code ISO 1","Code ISO 2","Code ISO 3","Trait de côte (km)","Surface (km²)","Latitude","Longitude"
"ILE NORMALE",113,"","ALA","","","",2.4546752166886736,0.1901453092908859,19.9442760689422,59.9871844480048
"ILE NORMALE",114,"","ALA","","","",1.1185285566973784,0.03750852476781606,21.1680742999654,59.9440627608487
"ILE NORMALE",115,"","ALA","","","",4.852257389234437,0.7923420294843911,19.9542140051631,59.9817569849576
"ILE NORMALE",116,"","ALA","","","",1.1809051447597056,0.06457536387348174,21.1689018838639,59.9195166286538
"ILE NORMALE",117,"","ALA","","","",3.0543981724996505,0.29036595633613316,19.9540673580365,59.9654921810257
"ILE NORMALE",118,"","ALA","","","",1.2431130813403046,0.0452695970916748,21.1674463749078,59.8904492024899
"ILE NORMALE",119,"","ALA","","","",1.734736978059579,0.12775857844924926,19.9547001987783,59.9596185745754
"ILE NORMALE",120,"","ALA","","","",1.741109093008772,0.07501600208485126,21.1670728403705,59.9365024808479
"ILE NORMALE",121,"","ALA","","","",3.735635073926169,0.8126350523619651,19.9618317404674,60.0524763599922
"ILE NORMALE",122,"","ALA","","","",1.118345167008776,0.04247980482804775,21.1641673168854,59.8943449068783
"ILE NORMALE",123,"","ALA","","","",1.4392204067334904,0.10208883174276351,19.9570980758831,59.8378465065179
"ILE NORMALE",124,"","ALA","","","",0.995998835605308,0.041486926387310025,21.1626745690642,59.7935202009357
"ILE NORMALE",125,"","ALA","","","",1.8170508312062308,0.14166886234092713,19.9634645053796,59.9961200167745
"ILE NORMALE",126,"","ALA","","","",1.1180276720991598,0.05098951953250169,21.1621378960467,59.8967088538768
"ILE NORMALE",127,"","ALA","","","",5.653338240524989,1.6556590311403274,19.9821492251818,60.0419959543943
"ILE NORMALE",128,"","ALA","","","",0.9315314868883616,0.04338394811892509,21.1587152468744,59.8754518058866
"ILE NORMALE",129,"","ALA","","","",1.5632081152562862,0.09040676985025406,19.9674028256669,59.9619936732501
"ILE NORMALE",130,"","ALA","","","",0.930963641360458,0.04133178846168518,21.1556593322248,59.9399016866135
"ILE NORMALE",131,"","ALA","","","",3.763441575940677,0.8730451488393247,19.9768611947208,60.3773637731227
"ILE NORMALE",132,"","ALA","","","",2.3613259220549074,0.12604160183572768,21.157237099191,59.8826164273636
"ILE NORMALE",133,"","ALA","","","",6.647439218442787,0.9323526889929771,19.9843064690641,59.9948679528981
"ILE NORMALE",134,"","ALA","","","",0.9961393914409007,0.04735025792837143,21.1507468879045,59.8227152163311
"ILE NORMALE",135,"","ALA","","","",1.3079834387407083,0.057072495134949684,21.1501767366645,59.769741929435
"ILE NORMALE",136,"","ALA","","","",7.075120092092304,1.7516746952622533,19.9960486057714,60.3888016036459
"ILE NORMALE",137,"","ALA","","","",3.051260614085616,0.24522078940093517,21.1539078232148,59.7903422623918
"ILE NORMALE",138,"","ALA","","","",3.0731813171527333,0.2931646315295696,19.9932377376394,59.9823723374609
"ILE NORMALE",139,"","ALA","","","",1.0592092510045696,0.04050756937408447,21.1455417048998,59.8008544892104
"ILE NORMALE",140,"","ALA","","","",3.2862741473853685,0.43266603894007205,19.9989332328757,59.9889101559834
